职位名称,详细链接,公司名称,工作地点,薪资,发布时间
['高级程序员/高级java程序员'],['https://jobs.51job.com/zhengzhou/114068459.html?s=01&t=0'],['上海玉带信息技术有限公司'],['郑州'],['0.8-1.5万/月'],['06-28']
['java 中高级开发工程师'],['https://jobs.51job.com/guanchenghuizuqu/82513690.html?s=01&t=0'],['郑州软通合力计算机技术有限公司'],['郑州-管城回族区'],['0.8-1万/月'],['06-28']
['LJL43-Java Web 开发工程师'],['https://jobs.51job.com/jinshuiqu/114806100.html?s=01&t=0'],['北京众信龙达科技发展有限公司'],['郑州-金水区'],['0.8-1.2万/月'],['06-28']
['java高级开发工程师'],['https://jobs.51job.com/jinshuiqu/99802367.html?s=01&t=0'],['北京智仁信业技术有限责任公司'],['郑州-金水区'],['1-2万/月'],['06-24']
['JAVA软件开发工程师'],['https://jobs.51job.com/jinshuiqu/94697858.html?s=01&t=0'],['河南盘古科技发展有限公司'],['郑州-金水区'],['0.6-1万/月'],['06-27']
['Web前端开发工程师'],['https://jobs.51job.com/zhengzhou-gxq/113911296.html?s=01&t=0'],['河南专工电器有限公司'],['郑州-高新区'],['4-6千/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou/109695975.html?s=01&t=0'],['郑州信大捷安信息技术股份有限公司'],['郑州'],['1-1.5万/月'],['06-27']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou-zzxq/102780440.html?s=01&t=0'],['河南泽辰软件科技有限公司'],['郑州-郑东新区'],['4.5-6千/月'],['06-01']
['软件开发工程师(java)'],['https://jobs.51job.com/zhengzhou-zzxq/76418303.html?s=01&t=0'],['格尔软件股份有限公司'],['郑州-郑东新区'],['0.8-1万/月'],['06-28']
['汽车行业MES软件工程师'],['https://jobs.51job.com/zhengzhou-gxq/105667694.html?s=01&t=0'],['上海慧程工程技术服务有限公司'],['郑州-高新区'],['6-8千/月'],['06-05']
['Java开发工程师-郑州'],['https://jobs.51job.com/zhengzhou-zzxq/103705374.html?s=01&t=0'],['北京宇信科技集团股份有限公司'],['郑州-郑东新区'],['0.7-1.3万/月'],['06-28']
['Java中级软件工程师'],['https://jobs.51job.com/zhengzhou/58456295.html?s=01&t=0'],['格尔软件股份有限公司'],['郑州'],[],['06-28']
['Java开发实习生'],['https://jobs.51job.com/erqiqu/113744476.html?s=01&t=0'],['郑州软通合力计算机技术有限公司'],['郑州-二七区'],['2.8-3千/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/jinshuiqu/114789952.html?s=01&t=0'],['广州市易杰数码科技有限公司'],['郑州-金水区'],['1-1.6万/月'],['06-28']
['JAVA开发工程师'],['https://jobs.51job.com/guanchenghuizuqu/111833233.html?s=01&t=0'],['北京物通时空网络科技开发有限公司...'],['郑州-管城回族区'],['0.6-1万/月'],['06-23']
['java软件工程师'],['https://jobs.51job.com/jinshuiqu/86248802.html?s=01&t=0'],['河南盘古科技发展有限公司'],['郑州-金水区'],['4-7千/月'],['06-27']
['项目经理'],['https://jobs.51job.com/henansheng/112417843.html?s=01&t=0'],['安徽科讯金服科技有限公司'],['异地招聘'],['0.7-2万/月'],['06-28']
['Java开发工程师（市民云）'],['https://jobs.51job.com/zhumadian/114540065.html?s=01&t=0'],['万达信息股份有限公司'],['异地招聘'],['0.6-1.2万/月'],['06-27']
['Java开发实习生'],['https://jobs.51job.com/zhengzhou/108220851.html?s=01&t=0'],['河南浪潮软件科技有限公司'],['郑州'],['1.8-2千/月'],['05-30']
['JAVA中级开发工程师'],['https://jobs.51job.com/jinshuiqu/113488738.html?s=01&t=0'],['北京中科联通科技有限责任公司'],['郑州-金水区'],['6-9千/月'],['06-27']
['Java资深软件工程师'],['https://jobs.51job.com/zhengzhou/58456056.html?s=01&t=0'],['格尔软件股份有限公司'],['郑州'],['1.5-2.5万/月'],['06-28']
['软件开发工程师（可实习JAVA或Python）'],['https://jobs.51job.com/zhengzhou-gxq/109680230.html?s=01&t=0'],['郑州悠络客信息技术有限公司'],['郑州-高新区'],['4.5-6千/月'],['06-28']
['项目经理'],['https://jobs.51job.com/zhengzhou/76481848.html?s=01&t=0'],['上海同程信息技术有限公司'],['郑州'],['0.6-1万/月'],['06-04']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou/112257724.html?s=01&t=0'],['郑州软通合力计算机技术有限公司'],['郑州'],['0.5-1万/月'],['06-28']
['Java web开发工程师（郑州）'],['https://jobs.51job.com/jinshuiqu/114772319.html?s=01&t=0'],['天津科莱迪尔信息科技有限公司'],['郑州-金水区'],['1.1-1.5万/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/zhengzhou/110325213.html?s=01&t=0'],['郑州蓝博电子技术有限公司'],['郑州'],['1-1.5万/月'],['06-28']
['java高级软件开发工程师'],['https://jobs.51job.com/zhengzhou-jkq/113907080.html?s=01&t=0'],['河南华道智能科技有限公司'],['郑州-经开区'],['0.8-1.5万/月'],['06-23']
['ERP实施顾问'],['https://jobs.51job.com/jinshuiqu/113990515.html?s=01&t=0'],['上海筑想信息科技股份有限公司'],['郑州-金水区'],['1-1.5万/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/zhengzhou/114162804.html?s=01&t=0'],['郑州佳豪科技有限公司'],['郑州'],['0.8-1万/月'],['06-27']
['高级java开发工程师'],['https://jobs.51job.com/zhengzhou/83404621.html?s=01&t=0'],['郑州恩普特科技股份有限公司'],['郑州'],['1-1.5万/月'],['06-27']
['Java高级开发工程师'],['https://jobs.51job.com/zhengzhou/114530848.html?s=01&t=0'],['郑州海为电子科技有限公司'],['郑州'],['0.8-1万/月'],['06-23']
['JAVA工程师'],['https://jobs.51job.com/zhengzhou/92185685.html?s=01&t=0'],['杭州东方通信软件技术有限公司'],['郑州'],['0.5-1万/月'],['05-30']
['IT Administrator - Service Desk（工作地天津）'],['https://jobs.51job.com/tianjin-hpq/113112388.html?s=01&t=0'],['捷信消费金融有限公司'],['异地招聘'],['1-1.5万/月'],['06-03']
['GIS平台java开发工程师'],['https://jobs.51job.com/zhengzhou/55150262.html?s=01&t=0'],['郑州软通合力计算机技术有限公司'],['郑州'],['6-8千/月'],['06-28']
['Java初级软件工程师（应届生）'],['https://jobs.51job.com/zhengzhou/85498583.html?s=01&t=0'],['格尔软件股份有限公司'],['郑州'],['6-8千/月'],['06-28']
['五险一金双休 招JAVA工程师'],['https://jobs.51job.com/jinshuiqu/108557481.html?s=01&t=0'],['郑州优碧科技有限公司'],['郑州-金水区'],['1-2.5万/月'],['06-28']
['JAVA软件工程师'],['https://jobs.51job.com/zhengzhou/73540808.html?s=01&t=0'],['杭州恒生数字设备科技有限公司'],['郑州'],['5-8万/年'],['06-27']
['Java高级开发工程师'],['https://jobs.51job.com/zhengzhou-zzxq/114194240.html?s=01&t=0'],['豫乾大数据集团有限公司'],['郑州-郑东新区'],['1-1.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou-gxq/105672133.html?s=01&t=0'],['郑州辉弘信息技术有限公司'],['郑州-高新区'],['6-8千/月'],['06-23']
['高级软件工程师/技术经理'],['https://jobs.51job.com/zhongyuanqu/94069067.html?s=01&t=0'],['北京神州宏图科技有限公司'],['郑州-中原区'],['0.5-1.2万/月'],['06-28']
['高级JAVA研发工程师'],['https://jobs.51job.com/zhengzhou/97703726.html?s=01&t=0'],['河南思维自动化设备股份有限公司'],['郑州'],['0.8-1.2万/月'],['05-29']
