职位名称,详细链接,公司名称,工作地点,薪资,发布时间
['Java中级开发工程师（金融行业）'],['https://jobs.51job.com/beijing-hdq/114633063.html?s=01&t=0'],['北京东软越通软件技术有限公司'],['北京-海淀区'],['1-2万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/101751156.html?s=01&t=0'],['广州新华时代数据系统有限公司'],['北京-海淀区'],['0.6-1万/月'],['06-28']
['高级JAVA开发工程师/设计工程师'],['https://jobs.51job.com/beijing-hdq/100915495.html?s=01&t=0'],['北京瑞尼尔技术有限公司'],['北京-海淀区'],['1-3万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing/105882229.html?s=01&t=0'],['中国电子科技集团公司第十五研究所...'],['北京'],['0.6-1万/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/shanghai-ptq/102497233.html?s=01&t=0'],['上海微企信息技术股份有限公司'],['异地招聘'],['1-1.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-xcq/114835064.html?s=01&t=0'],['北京重友亚旗科技有限公司'],['北京-西城区'],['0.8-1万/月'],['06-28']
['java后端开发工程师'],['https://jobs.51job.com/beijing-cyq/114525088.html?s=01&t=0'],['上海聚鹏科技有限公司'],['北京-朝阳区'],['1.5-2万/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/beijing/114784322.html?s=01&t=0'],['深圳市蓝鹰立德软件咨询有限公司'],['北京'],['1.5-2万/月'],['06-28']
['Java软件工程师'],['https://jobs.51job.com/beijing-hdq/72850752.html?s=01&t=0'],['国和瑞斯（北京）科技有限公司'],['北京-海淀区'],['0.4-1万/月'],['06-28']
['Java架构师'],['https://jobs.51job.com/chongqing-jlpq/113752932.html?s=01&t=0'],['重庆睿景信息技术有限公司'],['异地招聘'],['1.5-3万/月'],['06-28']
['Java资深开发工程师（智能交互平台）'],['https://jobs.51job.com/beijing-hdq/110547029.html?s=01&t=0'],['广州小鹏汽车科技有限公司'],['北京-海淀区'],['2-5万/月'],['06-28']
['java开发工程师（北京）'],['https://jobs.51job.com/beijing/111695988.html?s=01&t=0'],['湖北融汇信息科技有限公司'],['北京'],['1-1.5万/月'],['06-28']
['JAVA开发工程师'],['https://jobs.51job.com/beijing-cpq/114237073.html?s=01&t=0'],['北京新华祥瑞科技有限公司'],['北京-昌平区'],['0.8-1万/月'],['06-28']
['在线客服Java开发工程师'],['https://jobs.51job.com/beijing-hdq/113178638.html?s=01&t=0'],['北京华琪软通技术有限公司'],['北京-海淀区'],['1.5-2万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-cyq/112722256.html?s=01&t=0'],['高信隆'],['北京-朝阳区'],['2-2.5万/月'],['06-28']
['Java中级开发工程师'],['https://jobs.51job.com/beijing-cyq/110027405.html?s=01&t=0'],['金邦达有限公司'],['北京-朝阳区'],['1-2万/月'],['06-28']
['java软件工程师'],['https://jobs.51job.com/beijing-cyq/72917541.html?s=01&t=0'],['北京力龙依正通科技有限公司'],['北京-朝阳区'],['0.8-2万/月'],['06-28']
['高级软件工程师Java'],['https://jobs.51job.com/beijing/113765796.html?s=01&t=0'],['北京益高安捷信息技术有限公司'],['北京'],['1.5-2.5万/月'],['06-28']
['Java开发工程师（应届生）'],['https://jobs.51job.com/beijing/110103852.html?s=01&t=0'],['亚信科技（中国）有限公司'],['北京'],[],['06-28']
['Java中级'],['https://jobs.51job.com/beijing-hdq/111000079.html?s=01&t=0'],['郑州菏怀软件科技有限公司'],['北京-海淀区'],['1.5-2万/月'],['06-28']
['Java PHP Go 资深工程师/Leader'],['https://jobs.51job.com/beijing-cyq/105225658.html?s=01&t=0'],['北京智软英才管理咨询有限公司'],['北京-朝阳区'],['2.5-4.8万/月'],['06-28']
['大数据Java开发工程师（产品研发）'],['https://jobs.51job.com/beijing-dcq/78612497.html?s=01&t=0'],['北京东方金信科技有限公司'],['北京-东城区'],['1-1.5万/月'],['06-28']
['java高级开发工程师（房山良乡办公，地铁苏庄站附近）'],['https://jobs.51job.com/beijing-fsq/90746428.html?s=01&t=0'],['北京凤凰学易科技有限公司'],['北京-房山区'],['1.8-3万/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/beijing-hdq/114703961.html?s=01&t=0'],['北京东方坦达科技有限公司'],['北京-海淀区'],['1-1.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-syq/110539822.html?s=01&t=0'],['北京宇电科技集团有限公司'],['北京-顺义区'],['1-1.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-cyq/111044218.html?s=01&t=0'],['北京爸爸的选择科技有限公司'],['北京-朝阳区'],['1.2-2.4万/月'],['06-28']
['高级java工程师'],['https://jobs.51job.com/beijing-hdq/76437139.html?s=01&t=0'],['融捷教育科技有限公司'],['北京-海淀区'],['20-30万/年'],['06-28']
['Java开发实习生'],['https://jobs.51job.com/beijing-dcq/114629203.html?s=01&t=0'],['北京国研数通软件技术有限公司'],['北京-东城区'],['2-3千/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-xcq/113457656.html?s=01&t=0'],['上海舟恩信息技术有限公司'],['北京-西城区'],['1.2-1.6万/月'],['06-28']
['Java架构师'],['https://jobs.51job.com/beijing-hdq/109536991.html?s=01&t=0'],['江苏人加信息科技有限公司'],['北京-海淀区'],['1-2万/月'],['06-28']
['架构师/高级java开发'],['https://jobs.51job.com/beijing-cyq/112128493.html?s=01&t=0'],['伯乐优选（北京）管理咨询有限公司'],['北京-朝阳区'],['2.5-5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/114631996.html?s=01&t=0'],['北京数字政通科技股份有限公司'],['北京-海淀区'],['1-1.8万/月'],['06-28']
['java爬虫工程师'],['https://jobs.51job.com/beijing/112001276.html?s=01&t=0'],['北京新联财通咨询有限公司'],['北京'],['1-1.5万/月'],['06-28']
['Java高级开发工程师（丰台总部基地）'],['https://jobs.51job.com/beijing-ftq/99966766.html?s=01&t=0'],['北京天拓四方科技有限公司'],['北京-丰台区'],['2.5-3.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing/110305398.html?s=01&t=0'],['北京联龙博通电子商务技术有限公司'],['北京'],['1-1.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/114665686.html?s=01&t=0'],['北京金麦斯特软件有限公司'],['北京-海淀区'],['1-1.5万/月'],['06-28']
['Java（EOS）软件开发'],['https://jobs.51job.com/beijing-sjsq/108905852.html?s=01&t=0'],['郑州软通合力计算机技术有限公司'],['北京-石景山区'],['0.9-1.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/114154143.html?s=01&t=0'],['北京宇信科技集团股份有限公司'],['北京-海淀区'],['1.2-2万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/114096013.html?s=01&t=0'],['北京莲宇时空科技有限公司'],['北京-海淀区'],['0.8-1万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-cyq/113315638.html?s=01&t=0'],['北京鸿特卓博咨询服务有限公司'],['北京-朝阳区'],['1.5-3万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/109590113.html?s=01&t=0'],['北京开普云信息科技有限公司'],['北京-海淀区'],['1-1.5万/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/beijing-cyq/111197505.html?s=01&t=0'],['北京智普信科技股份有限公司'],['北京-朝阳区'],['1.5-2万/月'],['06-28']
['高级Java软件工程师（内招/地点：安贞门地铁站）'],['https://jobs.51job.com/beijing/75517561.html?s=01&t=0'],['北京美络克思科技有限公司'],['北京'],['1.5-2.5万/月'],['06-28']
['java工程师（ATS）'],['https://jobs.51job.com/beijing/95449588.html?s=01&t=0'],['民航数据通信有限责任公司'],['北京'],['10-30万/年'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/113553441.html?s=01&t=0'],['北京天桥科技有限公司'],['北京-海淀区'],['1.5-2万/月'],['06-28']
['Java开发工程师(GIS方向'],['https://jobs.51job.com/beijing-cyq/105067984.html?s=01&t=0'],['建研科技股份有限公司'],['北京-朝阳区'],['1.5-3万/月'],['06-28']
['大连软件园 对日Java开发'],['https://jobs.51job.com/dalian-gxyq/109598204.html?s=01&t=0'],['北京高馨宏维网络科技有限公司'],['异地招聘'],['6-8千/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-xcq/110683873.html?s=01&t=0'],['深圳市融汇通金科技有限公司'],['北京-西城区'],['1.5-2万/月'],['06-28']
['JAVA开发经理'],['https://jobs.51job.com/beijing-hdq/54641560.html?s=01&t=0'],['华迪计算机集团有限公司'],['北京-海淀区'],['1.5-2万/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/beijing-cyq/114239059.html?s=01&t=0'],['上海贝格一欧信息科技有限公司'],['北京-朝阳区'],['1.2-1.8万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-cyq/85717717.html?s=01&t=0'],['北京羽实箫恩信息技术股份有限公司'],['北京-朝阳区'],['0.8-1.2万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-dcq/113304231.html?s=01&t=0'],['金东（金六福企业）'],['北京-东城区'],['1-1.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing/111677016.html?s=01&t=0'],['上海普坤信息科技有限公司'],['北京'],['0.7-1万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-cyq/105954515.html?s=01&t=0'],['深圳捷汇科技有限公司'],['北京-朝阳区'],['1.5-2.5万/月'],['06-28']
['工具软件开发工程师（java方向）'],['https://jobs.51job.com/beijing/113371097.html?s=01&t=0'],['北京翼辉信息技术有限公司'],['北京'],['0.8-1.6万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/113249426.html?s=01&t=0'],['紫光云数科技有限公司'],['北京-海淀区'],['0.7-1万/月'],['06-28']
['JAVA后端开发工程师（语音方向）2773'],['https://jobs.51job.com/beijing-cyq/114807721.html?s=01&t=0'],['OPPO'],['北京-朝阳区'],['2-4万/月'],['06-28']
['java高级工程师'],['https://jobs.51job.com/beijing-ftq/67156494.html?s=01&t=0'],['北京鼎兴达信息科技股份有限公司'],['北京-丰台区'],['0.8-1万/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/beijing-hdq/105922980.html?s=01&t=0'],['北京华宇兴泰科技有限公司'],['北京-海淀区'],['1-2万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-cyq/103329296.html?s=01&t=0'],['深圳市优友互联有限公司'],['北京-朝阳区'],['1-2万/月'],['06-28']
